0
"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley"
"Kenneth More, Cecil Parker, Dennis Price, Billie Whitelaw"
"Vincent Price, Peter Lorre, Boris Karloff, Joyce Jameson"
"Cary Grant, Audrey Hepburn, Walter Matthau, James Coburn"
"Frank Sinatra, Lee J. Cobb, Molly Picon, Barbara Rush"
"Alain Cuny, Rosanna Schiaffino, Jacques Perrin, Isa Miranda"
"Marcello Mastroianni, Renato Salvatori, Gabriella Giorgelli, Folco Lulli"
"Gordon Scott, Alessandra Panaro, Rosalba Neri, Arturo Dominici"
"Peter Breck, Kent Taylor, Rod Lauren, Alan Hale Jr."
"Rony Clanton, Carl Lee, Yolanda Rodr�guez, Clarence Williams III"
"Bob Hope, Lucille Ball, Marilyn Maxwell, Rip Torn"
"Glenn Ford, Shirley Jones, Stella Stevens, Dina Merrill"
"Sophia Loren, Anthony Perkins, Gig Young, Jean-Pierre Aumont"
"Robert Hossein, Jean Sorel, Catherine Rouvel, Georges Wilson"
"Fernandel, Bourvil, Claire Maurier, Andrex"
"William Campbell, Luana Anders, Bart Patton, Mary Mitchel"
"Vincent Price, Nancy Kovack, Chris Warfield, Elaine Devry"
"Dirk Bogarde, James Robertson Justice, Samantha Eggar, Barbara Murray"
"Alberto Sordi, Gunilla Elm-Tornkvist, Anne-Charlotte Sj�berg, Barbro Wastenson"
"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn"
"J� Shishido, Reiko Sasamori, Naomi Hoshi, Tamio Kawachi"
"Ugo Tognazzi, Annie Girardot, Achille Majeroni, Filippo Pompa Marcelli"
"Rostislav Plyatt, Georgiy Vitsin, Yuriy Nikulin, Aleksei Smirnov"
"Louis de Fun�s, Yvonne Clech, Jean-Pierre Marielle, Anne Doat"
"Mel Ferrer, Rosanna Schiaffino, Adolfo Celi, Mario Feliciani"
"John Wayne, Lee Marvin, Elizabeth Allen, Jack Warden"
"Kirk Douglas, Mitzi Gaynor, Gig Young, Thelma Ritter"
"Tony Curtis, Suzanne Pleshette, Larry Storch, Howard Morris"
"Maurice Ronet, L�na Skerla, Yvonne Clech, Hubert Deschamps"
"Chuck Connors, Luke Halpin, Connie Scott, Jane Rose"
"Sean Connery, Daniela Bianchi, Pedro Armend�riz, Lotte Lenya"
"Jacques Perrin, Mich�le Morgan, Enrico Maria Salerno, Sylva Koscina"
"Daliah Lavi, Christopher Lee, Tony Kendall, Ida Galli"
"Stanislaw Bareja, Hanka Bielicka, Karolina Borchardt, Jacek Hahn"
"Burt Lancaster, Claudia Cardinale, Alain Delon, Paolo Stoppa"
"Frank Sinatra, Dean Martin, Anita Ekberg, Ursula Andress"
"Elvis Presley, Ursula Andress, Elsa C�rdenas, Paul Lukas"
"Judy Garland, Robert Goulet, Red Buttons, Paul Frees"
"Steve McQueen, James Garner, Richard Attenborough, James Donald"
"Julie Harris, Claire Bloom, Richard Johnson, Russ Tamblyn"
"Ingrid Bergman, Michael Redgrave, Ralph Richardson, Trevor Howard"
"Rock Hudson, Rod Taylor, Mary Peach, Barry Sullivan"
"Vincent Price, Debra Paget, Lon Chaney Jr., Frank Maxwell"
"Peter Sellers, Cecil Parker, Isabel Jeans, Ian Carmichael"
"G�rard Tichy, Leo Anch�riz, Ombretta Colli, Helga Lin�"
"Paul Newman, Melvyn Douglas, Patricia Neal, Brandon De Wilde"
"Shashi Kapoor, Leela Naidu, Durga Khote, Achala Sachdev"
"Sophia Loren, Marcello Mastroianni, Aldo Giuffr�, Agostino Salvietti"
"Ray Dennis Steckler, Carolyn Brandt, Brett O'Hara, Atlas King"
"Judy Garland, Dirk Bogarde, Jack Klugman, Aline MacMahon"
"Robert Preston, Tony Randall, Giorgia Moll, Walter Matthau"
"Elvis Presley, Joan O'Brien, Gary Lockwood, Vicky Tiu"
"Spencer Tracy, Milton Berle, Sid Caesar, Buddy Hackett"
"Todd Armstrong, Nancy Kovack, Gary Raymond, Laurence Naismith"
"Jack Lemmon, Shirley MacLaine, Lou Jacobi, Bruce Yarnell"
"�mile Genest, John Drainie, Tommy Tweed, Sandra Scott"
"Chris Marker, Yves Montand, Simone Signoret"
"Akira Kobayashi, Chieko Matsubara, Daizabur� Hirata, Hiroko It�"
"Henry Silva, Elizabeth Montgomery, Richard Anderson, Jim Backus"
"Takayuki Akutagawa, Chiezo Kataoka, K�tar� Satomi, Ry�hei Uchida"
"Yul Brynner, George Chakiris, Shirley Anne Field, Richard Basehart"
"Tadao Takashima, Y�ko Fujiyama, Y� Fujiki, Kenji Sahara"
"Jenny Karezi, Giorgos Foundas, Dimitris Papamichael, Manos Katrakis"
"Nadezhda Rumyantseva, Andrei Sova, Aleksey Kozhevnikov, Nonna Koperzhinskaya"
"Clifford Evans, Edward de Souza, Noel Willman, Jennifer Daniel"
"Elvis Presley, Arthur O'Connell, Glenda Farrell, Jack Albertson"
"Jir� Such�, Jir� Slitr, Marketa Krotka, Ladislav Jakim"
"Li-Chu Chang, Yanyan Chen, Kuang Chao Chiang, Chuang Chiao"
"Tamio Kawachi, Eiji G�, Noriko Matsumoto, Yuko Chishiro"
"Leslie Caron, Anthony Booth, Avis Bunnage, Patricia Phoenix"
"Jane Connell, William Daniels, James Frawley, Richard Hamilton"
"Tony Curtis, Kirk Douglas, Burt Lancaster, Robert Mitchum"
"Richard Widmark, Sidney Poitier, Russ Tamblyn, Rosanna Schiaffino"
"Mark Forest, Jos� Greci, Giuliano Gemma, Erno Crisa"
"Natalie Wood, Steve McQueen, Edie Adams, Herschel Bernardi"
"Rita Tushingham, Colin Campbell, Dudley Sutton, Gladys Henson"
"James Aubrey, Tom Chapin, Hugh Edwards, Roger Elwin"
"Sidney Poitier, Lilia Skala, Lisa Mann, Isa Crino"
"Anil Chatterjee, Madhabi Mukherjee, Jaya Bhaduri, Haren Chatterjee"
"Glenn Ford, Hope Lange, Charles Boyer, Ricardo Montalban"
"John Wayne, Maureen O'Hara, Patrick Wayne, Stefanie Powers"
"Eleni Prokopiou, Takis Emmanuel, Kleopatra Rota, Vangelis Ioannidis"
"Alberto Sordi, Claire Bloom, Vito De Taranto, Ya Doucheskaya"
"Kirk Morris, H�l�ne Chanel, Vira Silenti, Angelo Zanolli"
"Akira Kubo, Kumi Mizuno, Hiroshi Koizumi, Kenji Sahara"
"Rod Steiger, Salvo Randone, Guido Alberti, Angelo D'Alessandro"
"Margaret Rutherford, Ron Moody, Bernard Cribbins, David Kossoff"
"Ugo Tognazzi, Vittorio Gassman, Lando Buzzanca, Marino Mas�"
"Doris Day, James Garner, Polly Bergen, Thelma Ritter"
"Rossano Brazzi, Yves Klein, Stefano Sibaldi, Henning Skaarup"
"Brigitte Bardot, Fritz Lang, Jack Palance, Giorgia Moll"
"Jean Gabin, Alain Delon, Claude Cerval, Viviane Romance"
"Delphine Seyrig, Jean-Pierre K�rien, Nita Klein, Jean-Baptiste Thi�rr�e"
"Ingrid Thulin, Gunnar Bj�rnstrand, Gunnel Lindblom, Max von Sydow"
"Paul Newman, Joanne Woodward, Thelma Ritter, Eva Gabor"
"Horst Buchholz, Jos� Ferrer, Valerie Gearon, Don Borisenko"
"Margaret Rutherford, Stringer Davis, Robert Morley, Flora Robson"
"Emiko Aizawa, Setsuko Amamiya, Tomio Aoki, Tomoko Aoyagi"
"Lex Barker, Pierre Brice, Daliah Lavi, Guy Madison"
"Zolt�n Latinovits, Andor Ajtay, B�la Barsi, Mikl�s Szak�ts"
"Jerry Lewis, Stella Stevens, Del Moore, Kathleen Freeman"
"Cliff Robertson, Ty Hardin, James Gregory, Robert Culp"
"Jackie Gleason, Glynis Johns, Charles Ruggles, Laurel Goodwin"
"David Niven, Peter Sellers, Robert Wagner, Capucine"
"Louis de Fun�s, Mireille Darc, Roger Dumas, Jacqueline Maillan"
"Anthony Perkins, Arnoldo Fo�, Jess Hahn, Billy Kearns"
"Paul Newman, Edward G. Robinson, Elke Sommer, Diane Baker"
"Giorgio Bassani, Renato Guttuso, Gigi Artuso, Carlo Romano"
"Pierre Brice, Sergio Ciani, Moira Orfei, Maria Grazia Spina"
"Arch Hall Jr., Richard Alden, Marilyn Manning, Don Russell"
"Dirk Bogarde, Sarah Miles, Wendy Craig, James Fox"
"Peter Breck, Constance Towers, Gene Evans, James Best"
"Shima Iwashita, Mariko Kaga, G� Kat�, Kinuyo Tanaka"
"Kevin Casey, Eric Tomlin, Anthony Cardoza, Marcia Knight"
"Henry Fonda, Maureen O'Hara, James MacArthur, Donald Crisp"
"Shintar� Katsu, Mikiko Tsubouchi, Seizabur� Kawazu, Fujio Suga"
"Andrea Drahota, Marianna Mo�r, Istv�nn� Zsipi, S�ndor Csik�s"
"Jackie Gleason, Steve McQueen, Tuesday Weld, Tony Bill"
"James Booth, Barbara Windsor, Roy Kinnear, Avis Bunnage"
"Barbara Steele, Peter Baldwin, Elio Jotta, Harriet Medin"
"Hayley Mills, Burl Ives, Dorothy McGuire, Deborah Walley"
"Ugo Tognazzi, Marina Vlady, Walter Giller, Linda Sini"
"Nico, Dany Saval, Jean Sobieski, Joe Turner"
"Vittorio Gassman, Anouk Aim�e, Jean-Louis Trintignant, Cristina Gaioni"
"Adriano Celentano, Claudia Mori, Donatella Turri, Luigi Pavese"
"James Stewart, Sandra Dee, Audrey Meadows, Robert Morley"
"Jane Fonda, Rod Taylor, Cliff Robertson, Robert Culp"
"Sebastian Cabot, Karl Swenson, Rickie Sorensen, Junius Matthews"
"Sandra Dee, Peter Fonda, Macdonald Carey, Margaret Lindsay"
"Boris Karloff, Jack Nicholson, Sandra Knight, Dick Miller"
"Toshir� Mifune, Tatsuya Nakadai, Ky�ko Kagawa, Tatsuya Mihashi"
"Richard Harris, Rachel Roberts, Alan Badel, William Hartnell"
"Patrick McGoohan, Susan Hampshire, Laurence Naismith, Jean Anderson"
"Doris Day, James Garner, Arlene Francis, Edward Andrews"
"Shirley Jones, Gig Young, Red Buttons, Carolyn Jones"
"Lex Barker, Ann Smyrner, Magali No�l, Eleonora Rossi Drago"
"George Devine, Rachel Kempson, Angela Baddeley, Joyce Redman"
"Lino Ventura, Bernard Blier, Francis Blanche, Claude Rich"
"Dean Martin, Geraldine Page, Yvette Mimieux, Wendy Hiller"
"Mich�le Mercier, Lidia Alfonsi, Boris Karloff, Mark Damon"
"Ingrid Thulin, Gunnel Lindblom, Birger Malmsten, H�kan Jahnberg"
"Jack Lemmon, Carol Lynley, Dean Jones, Edie Adams"
"Vincent Price, Joyce Taylor, Sebastian Cabot, Brett Halsey"
"Elizabeth Taylor, Richard Burton, Louis Jourdan, Elsa Martinelli"
"Rossana Podest�, Georges Rivi�re, Christopher Lee, Jim Dolen"
"Aleksandr Khvylya, L. Myznikova, Yuri Tavrov, Lyudmila Khityaeva"
"Nino Manfredi, Emma Penella, Jos� Isbert, Jos� Luis L�pez V�zquez"
"Richard Chamberlain, Nick Adams, Claude Rains, Joan Blackman"
"Vince Edwards, Albert Finney, George Hamilton, Melina Mercouri"
"�tila I�rio, Maria Ribeiro, Orlando Macedo, Joffre Soares"
"Sarah Braveman, Zeph Michelis, Fred Sica, Mimi Stark"
"Jerry Lewis, Jill St. John, Ray Walston, John McGiver"
"Janet Leigh, Van Johnson, Shelley Winters, Martha Hyer"
"Nikita Mikhalkov, Aleksei Loktev, Galina Polskikh, Evgeniy Steblov"
"James Garner, Lee Remick, Phil Harris, Chill Wills"
"Ray Milland, Diana Van der Vlis, Harold J. Stone, John Hoyt"
"Kirill Lavrov, Anatoliy Papanov, Aleksey Glazyrin, Oleg Efremov"
"J� Shishido, Misako Watanabe, Tamio Kawachi, Minako Katsuki"
"Heini G�bel, Herbert B�tticher, Siegfried Lowitz, Ernst Fritz F�rbringer"
"Shintar� Katsu, Shiho Fujimura, Ry�z� Shimada, Reiko Fujiwara"
"Kazuo Hasegawa, Fujiko Yamamoto, Ayako Wakao, Eiji Funakoshi"
"Shintar� Katsu, Miwa Takada, Masayo Banri, Jun'ichir� Narita"
"Tony Randall, Barbara Eden, Arthur O'Connell, John Ericson"
"William Holden, Susannah York, Capucine, Tetsur� Tanba"
"Glenn Ford, Stella Stevens, Melvyn Douglas, Jim Backus"
"James Garner, Eva Marie Saint, Rod Taylor, Werner Peters"
"Cliff Robertson, George Chakiris, Maria Perschy, Harry Andrews"
"Masumi Harukawa, K� Nishimura, Shigeru Tsuyuguchi, Y�ko Kusunoki"
"Anthony Quinn, Alan Bates, Irene Papas, Lila Kedrova"
"Francis Lacombrade, Didier Haudepin, Fran�ois Leccia, Dominique Maurin"
"Mich�le Mercier, Robert Hossein, Jean Rochefort, Claude Giraud"
"Nino Manfredi, Fulvia Franco, John Phillip Law, Eleanor Beacour"
"Marjorie Eaton, Frank Gerstle, Frank Fowler, Erika Peters"
"James Garner, Julie Andrews, Melvyn Douglas, James Coburn"
"Audie Murphy, Michael Dante, Linda Lawson, L.Q. Jones"
"Jimmie Rodgers, Jack Nicholson, John Hackett, Annabelle Huggins"
"Anna Karina, Dani�le Girard, Louisa Colpeyn, Chantal Darget"
"Lino Ventura, Francis Blanche, Bernard Blier, Mireille Darc"
"Ken Utsui, Junko Ikeuchi, Sh�ji Nakayama, Minoru Takada"
"Gregory Peck, Anthony Quinn, Omar Sharif, Raymond Pellegrin"
"James Whitmore, Sorrell Booke, Roscoe Lee Browne, Al Freeman Jr."
"Nikos Kourkoulos, Mairi Hronopoulou, Giannis Voglis, Faidon Georgitsis"
"Henry Fonda, Cliff Robertson, Edie Adams, Margaret Leighton"
"Frankie Avalon, Annette Funicello, Martha Hyer, Don Rickles"
"Richard Burton, Peter O'Toole, John Gielgud, Gino Cervi"
"Marlon Brando, David Niven, Shirley Jones, Dody Goodman"
"Belarmino Fragoso, Jean Pierre Gebler, Maria Teresa de Noronha, Bernardo Moreira"
"Audie Murphy, Darren McGavin, Ruta Lee, Beverley Owen"
"Tony Randall, Burl Ives, Barbara Eden, Kamala Devi"
"Heather Sears, John Turner, Ann Lynn, Peter Arne"
"Petr Kostka, Em�lia V�s�ryov�, Miroslav Holub, Karel Effa"
"Sterling Hayden, Eva Marie Saint, Ben Gazzara, Barbara Ann Teer"
"George Peppard, Alan Ladd, Carroll Baker, Robert Cummings"
"Kenneth Williams, Bernard Cribbins, Juliet Mills, Charles Hawtrey"
"Soumitra Chatterjee, Madhabi Mukherjee, Shailen Mukherjee, Tarapada Basu"
"Sidney James, Kenneth Williams, Kenneth Connor, Charles Hawtrey"
"Deborah Kerr, Hayley Mills, John Mills, Edith Evans"
"Christopher Lee, Gaia Germani, Philippe Leroy, Mirko Valentin"
"Richard Widmark, Carroll Baker, Karl Malden, Sal Mineo"
"Sady Rebbot, Pascale Audret, Tino Buazzelli, Nando Angelini"
"John Wayne, Claudia Cardinale, Rita Hayworth, Lloyd Nolan"
"Kenneth Williams, Barbara Windsor, Bernard Cribbins, Charles Hawtrey"
"Bourvil, Louis de Fun�s, Venantino Venantini, Henri G�n�s"
"Pier Paolo Pasolini, Lello Bersani, Io Apolloni, Ignazio Buttitta"
"Barbara Steele, Georges Rivi�re, Margrete Robsahm, Arturo Dominici"
"Terence Morgan, Ronald Howard, Fred Clark, Jeanne Roland"
"Monica Vitti, Richard Harris, Carlo Chionetti, Xenia Valderi"
"Vic Savage, Shannon O'Neil, William Thourlby, John Caresio"
"Tony Cosgrove, Olivier Espitalier-Noel, Don Fairservice, George McBean"
"Bryant Haliday, William Sylvester, Yvonne Romain, Sandra Dorne"
"Geraldo Del Rey, Yon� Magalh�es, Othon Bastos, Maur�cio do Valle"
"Bette Davis, Karl Malden, Peter Lawford, Philip Carey"
"Evgeniy Evstigneev, Arina Aleynikova, Ilya Rutberg, Lidiya Smirnova"
"Jane Brakhage, Stan Brakhage"
"Jerry Lewis, Glenda Farrell, Susan Oliver, Karen Sharpe"
"Christopher Lee, Andrew Keir, John Cairney, Duncan Lamont"
"Glenn Ford, Geraldine Page, Angela Lansbury, Michael Anderson Jr."
"Willard Parker, Virginia Field, Dennis Price, Thorley Walters"
"Peter Cushing, Peter Woodthorpe, Duncan Lamont, Sandor El�s"
"Cary Grant, Leslie Caron, Trevor Howard, Jack Good"
"Edward Judd, Martha Hyer, Lionel Jeffries, Miles Malleson"
"Martin Kosleck, Byron Sanders, Barbara Wilkin, Rita Morley"
"Glenn Ford, Nancy Kwan, Rod Taylor, Suzanne Pleshette"
"Sophia Loren, Stephen Boyd, Alec Guinness, James Mason"
"Miriam Hopkins, Alexander D'Arcy, Walter Giller, Chris Howland"
"Dan O'Herlihy, Walter Matthau, Frank Overton, Edward Binns"
"Maria Ad�lia, Joel Barcellos, Leonidas Bayer, Paulo Campos"
"Louis de Fun�s, Genevi�ve Grad, Michel Galabru, Daniel Cauchy"
"Renate Blume, Eberhard Esche, Hans Hardt-Hardtloff, Hilmar Thate"
"Jane Fonda, Alain Delon, Lola Albright, Sorrell Booke"
"Bibi Andersson, Harriet Andersson, Eva Dahlbeck, Karin Kavli"
"Nina Pens Rode, Bendt Rothe, Ebbe Rode, Baard Owe"
"Sean Connery, Honor Blackman, Gert Fr�be, Shirley Eaton"
"Peter Finch, Rita Tushingham, Lynn Redgrave, Marie Kean"
"Tony Curtis, Debbie Reynolds, Pat Boone, Joanna Barnes"
"Christopher Lee, Peter Cushing, Richard Pasco, Barbara Shelley"
"Jack Lemmon, Romy Schneider, Dorothy Provine, Mike Connors"
"Richard Attenborough, Jack Hawkins, Flora Robson, John Leyton"
"Charles Bronson, Susan Oliver, Kurt Russell, Jan Merlin"
"The Beatles, John Lennon, Paul McCartney, George Harrison"
"John Scott, Alice Lyon, Allan Laurel, Eulabelle Moore"
"Christopher Plummer, Robert Shaw, Alec Clunes, Michael Caine"
"Robert Goulet, Nancy Kwan, Robert Morse, Jill St. John"
"Don Knotts, Carole Cook, Jack Weston, Andrew Duggan"
"Jack Lemmon, Virna Lisi, Terry-Thomas, Eddie Mayehoff"
"Bette Davis, Olivia de Havilland, Joseph Cotten, Agnes Moorehead"
"Yul Brynner, Janice Rule, George Segal, Alfred Ryder"
"Jeanne Moreau, Georges G�ret, Michel Piccoli, Fran�oise Lugagne"
"Alain Delon, Lea Massari, Georges G�ret, Maurice Garrel"
"Jean-Paul Belmondo, Fran�oise Dorl�ac, Jean Servais, Roger Dumas"
"Jana Brejchov�, Jan Kacer, Jirina Jir�skov�, Vlastimil Brodsk�"
"Celia Milius, Larry Domasin, Ann Daniel, Carlos Romero"
"Dean Martin, Kim Novak, Ray Walston, Felicia Farr"
"Fred MacMurray, Polly Bergen, Eli Wallach, Arlene Dahl"
"Dirk Bogarde, Tom Courtenay, Leo McKern, Barry Foster"
"Karel Fiala, Rudolf Deyl, Milos Kopeck�, Kveta Fialov�"
"Ann-Margret, John Forsythe, Peter Brown, Patricia Barry"
"Mark Forest, Yvonne Furneaux, Massimo Serato, Pierre Cressoy"
"Olivia de Havilland, James Caan, Jennifer Billingsley, Rafael Campos"
"Anton Diffring, Catherine Schell, Christian Wolff, Michael Hinz"
"Lorna Maitland, Mark Bradley, James Rucker, Hal Hopper"
"Barbara Steele, George Ardisson, Halina Zalewska, Umberto Raho"
"Nevena Kokanova, Rade Markovic, Mikhail Mikhajlov, Vasil Vachev"
"Michiyo Aratama, Misako Watanabe, Rentar� Mikuni, Kenjir� Ishiyama"
"Claudia Cardinale, Ugo Tognazzi, Bernard Blier, Mich�le Girardon"
"Sergio Ciani, Jany Clair, Anna Maria Polani, Nando Tamberlani"
"Robert Mitchum, France Nuyen, Barry Sullivan, Trevor Howard"
"Warren Beatty, Jean Seberg, Peter Fonda, Kim Hunter"
"Tippi Hedren, Sean Connery, Martin Gabel, Louise Latham"
"Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns"
"Vincent Price, Hazel Court, Jane Asher, David Weston"
"Sophia Loren, Marcello Mastroianni, Aldo Puglisi, Tecla Scarano"
"Buddy Ebsen, Keir Dullea, Lois Nettleton, Warren Oates"
"Rock Hudson, Paula Prentiss, Maria Perschy, John McGiver"
"Valentina Titova, Georgiy Martynyuk, Oleg Vidov, Maria Pastukhova"
"Hideko Takamine, Y�z� Kayama, Mitsuko Kusabue, Yumi Shirakawa"
"Aleksandr Khvylya, Natalya Sedykh, Eduard Izotov, Inna Churikova"
"Kirk Morris, Mich�le Girardon, Renato Baldini, Mario Feliciani"
"Akira Takarada, Yuriko Hoshi, Hiroshi Koizumi, Y� Fujiki"
"Hayley Mills, Eli Wallach, Peter McEnery, Joan Greenwood"
"Margaret Rutherford, Lionel Jeffries, Charles 'Bud' Tingwell, William Mervyn"
"Margaret Rutherford, Ron Moody, Charles 'Bud' Tingwell, Andrew Cruickshank"
"Frankie Avalon, Annette Funicello, Luciana Paluzzi, John Ashley"
"Constance Towers, Anthony Eisley, Michael Dante, Virginia Grey"
"Valentin Popov, Nikolay Gubenko, Stanislav Lyubshin, Marianna Vertinskaya"
"Richard Burton, Ava Gardner, Deborah Kerr, Sue Lyon"
"Robert Taylor, Barbara Stanwyck, Judi Meredith, Hayden Rorke"
"Alan Bates, Denholm Elliott, Harry Andrews, Millicent Martin"
"J� Shishido, K�ji Wada, Yumiko Nogawa, Tomiko Ishii"
"Bette Davis, Horst Buchholz, Catherine Spaak, Isa Miranda"
"Willy Braque, Yves Duffaut, Annie Josse, Virginie Solenn"
"Nobuko Otowa, Jitsuko Yoshimura, Kei Sat�, J�kichi Uno"
"Aleksey Konsovskiy, Nina Zorskaya, Oleg Vidov, Erast Garin"
"Tommy Kirk, Annette Funicello, Elsa Lanchester, Harvey Lembeck"
"Barbara Barrie, Bernie Hamilton, Richard Mulligan, Harry Bellaver"
"Maurice Chevalier, Eleanor Parker, Jayne Mansfield, Mike Connors"
"Cantinflas, �ngel Garasa, Rosa Mar�a V�zquez, Jos� El�as Moreno"
"Catherine Deneuve, Nino Castelnuovo, Anne Vernon, Marc Michel"
"Jean Desailly, Fran�oise Dorl�ac, Nelly Benedetti, Daniel Ceccaldi"
"Clint Eastwood, Marianne Koch, Gian Maria Volont�, Wolfgang Lukschy"
"Paul Newman, Laurence Harvey, Claire Bloom, Edward G. Robinson"
"William Holden, Audrey Hepburn, Gr�goire Aslan, Raymond Bussi�res"
"Rod Cameron, �ngel Aranda, Horst Frank, Mimmo Palmara"
"Ann-Margret, Anthony Franciosa, Carol Lynley, Gardner McKay"
"Roy M. Cohn, Joseph McCarthy, John L. McClellan, Karl E. Mundt"
"Anne Bancroft, Peter Finch, James Mason, Janine Gray"
"Ken Scott, Merry Anders, Russ Bender, Booth Colman"
"Richard Boone, Stuart Whitman, Anthony Franciosa, Wende Wagner"
"Fabian, Shelley Fabares, Peter Brown, Barbara Eden"
"Paul Mantee, Victor Lundin, Adam West, The Woolly Monkey"
"Topol, Geula Nuni, Gila Almagor, Albert Cohen"
"Y�suke Natsuki, Yuriko Hoshi, Hiroshi Koizumi, Akiko Wakabayashi"
"Elvis Presley, Barbara Stanwyck, Joan Freeman, Leif Erickson"
"John Call, Leonard Hicks, Vincent Beck, Bill McCutcheon"
"Jane Fonda, Anna Karina, Jean-Claude Brialy, Maurice Ronet"
"Burl Ives, Billie Mae Richards, Paul Soles, Larry D. Mann"
"Mario Carotenuto, Carlo Giuffr�, Franco Franchi, Ciccio Ingrassia"
"Stewart Granger, Raf Vallone, Mickey Rooney, Edd Byrnes"
"Frank Sinatra, Dean Martin, Sammy Davis Jr., Bing Crosby"
"Ernie Allo, Bruce Byron, Frank Carifi, Steve Crandell"
"Kim Stanley, Margaret Lacey, Marie Burke, Maria Kazan"
"Cameron Mitchell, Eva Bartok, Thomas Reiner, Ariana Gorini"
"Rock Hudson, Doris Day, Tony Randall, Paul Lynde"
"Stefania Sandrelli, Saro Urz�, Aldo Puglisi, Lando Buzzanca"
"Douglas Keay, Bruce Balden, Jacqueline Bassett, Symon Basterfield"
"Stuart Whitman, Carol Lynley, Roddy McDowall, Lauren Bacall"
"Peter Sellers, Elke Sommer, George Sanders, Herbert Lom"
"Tony Curtis, Natalie Wood, Henry Fonda, Lauren Bacall"
"Burt Lancaster, Kirk Douglas, Fredric March, Ava Gardner"
"Dirch Passer, Susse Wold, Lone Hertz, Ove Sprog�e"
"Robert Dornan, Richard Jordahl, Shirley Olmstead, Richard Masters"
"Sergio Corrieri, Salvador Wood, Jos� Gallardo, Ra�l Garc�a"
"Joan Crawford, Diane Baker, Leif Erickson, Howard St. John"
"Lon Chaney Jr., Carol Ohmart, Quinn K. Redeker, Beverly Washburn"
"Ken Clark, Jany Clair, Michel Lemoine, Andreina Paul"
"Rock Hudson, Gina Lollobrigida, Gig Young, Edward Judd"
"Victor Buono, David McLean, Diane Sayer, Davey Davison"
"The Beach Boys, The Barbarians, Chuck Berry, The Blossoms"
"Ivan Mykolaichuk, Larisa Kadochnikova, Tatyana Bestayeva, Spartak Bagashvili"
"Eiji Okada, Ky�ko Kishida, Hiroko It�, K�ji Mitsui"
"Tetsur� Tanba, Isamu Nagato, Mikijir� Hira, Miyuki Kuwano"
"Sergio Ciani, Mimmo Palmara, Lisa Gastoni, Rosalba Neri"
"Richard Lapp, Anne Randall, Robert Random, Beatrice Kay"
"Torsten Lilliecrona, Louise Edlind, Bj�rn S�derb�ck, Urban Strand"
"Preston Foster, Philip Carey, Merry Anders, John Hoyt"
"Melina Mercouri, Peter Ustinov, Maximilian Schell, Robert Morley"
"Brian Keith, Vera Miles, Pamela Franklin, Sabu"
